============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 132/200 | Loss: 0.0717 | Test Loss: 0.2742 | Train: 98.4% | Test: 92.8% | Avg10: 92.8% | Best: 94.8%
Ep 133/200 | Loss: 0.0713 | Test Loss: 0.2661 | Train: 98.5% | Test: 93.2% | Avg10: 92.9% | Best: 94.8%
Ep 134/200 | Loss: 0.0730 | Test Loss: 0.2780 | Train: 98.3% | Test: 92.9% | Avg10: 92.9% | Best: 94.8%
Ep 135/200 | Loss: 0.0700 | Test Loss: 0.2697 | Train: 98.5% | Test: 92.8% | Avg10: 92.9% | Best: 94.8%
Ep 136/200 | Loss: 0.0715 | Test Loss: 0.2525 | Train: 98.5% | Test: 93.4% | Avg10: 92.9% | Best: 94.8%
Ep 137/200 | Loss: 0.0733 | Test Loss: 0.2628 | Train: 98.4% | Test: 93.2% | Avg10: 92.9% | Best: 94.8%
Ep 138/200 | Loss: 0.0742 | Test Loss: 0.2876 | Train: 98.3% | Test: 92.3% | Avg10: 92.8% | Best: 94.8%
Ep 139/200 | Loss: 0.0709 | Test Loss: 0.3044 | Train: 98.4% | Test: 92.2% | Avg10: 92.8% | Best: 94.8%
Ep 140/200 | Loss: 0.0726 | Test Loss: 0.2984 | Train: 98.4% | Test: 92.0% | Avg10: 92.7% | Best: 94.8%
Ep 141/200 | Loss: 0.0712 | Test Loss: 0.2898 | Train: 98.5% | Test: 92.5% | Avg10: 92.7% | Best: 94.8%
Ep 142/200 | Loss: 0.0691 | Test Loss: 0.2757 | Train: 98.4% | Test: 92.7% | Avg10: 92.7% | Best: 94.8%
Ep 143/200 | Loss: 0.0730 | Test Loss: 0.2849 | Train: 98.3% | Test: 92.6% | Avg10: 92.7% | Best: 94.8%
Ep 144/200 | Loss: 0.0719 | Test Loss: 0.3160 | Train: 98.4% | Test: 91.9% | Avg10: 92.6% | Best: 94.8%
Ep 145/200 | Loss: 0.0705 | Test Loss: 0.2868 | Train: 98.4% | Test: 92.7% | Avg10: 92.5% | Best: 94.8%
Ep 146/200 | Loss: 0.0740 | Test Loss: 0.2947 | Train: 98.4% | Test: 92.4% | Avg10: 92.4% | Best: 94.8%
Ep 147/200 | Loss: 0.0691 | Test Loss: 0.3015 | Train: 98.5% | Test: 92.4% | Avg10: 92.4% | Best: 94.8%
Ep 148/200 | Loss: 0.0707 | Test Loss: 0.3185 | Train: 98.4% | Test: 92.0% | Avg10: 92.3% | Best: 94.8%
Ep 149/200 | Loss: 0.0711 | Test Loss: 0.2810 | Train: 98.5% | Test: 92.7% | Avg10: 92.4% | Best: 94.8%
Ep 150/200 | Loss: 0.0730 | Test Loss: 0.2473 | Train: 98.4% | Test: 93.0% | Avg10: 92.5% | Best: 94.8%
